,name,lon,lat
538,район Чертаново Центральное,37.614864,55.622251
539,район Чертаново Центральное,37.615022,55.622231
540,район Чертаново Центральное,37.615567,55.622153
541,район Чертаново Центральное,37.616026,55.62209
542,район Чертаново Центральное,37.616202,55.622063
543,район Чертаново Центральное,37.616252,55.622055
544,район Чертаново Центральное,37.616326,55.622045
545,район Чертаново Центральное,37.617157,55.62193
546,район Чертаново Центральное,37.620859,55.621417
547,район Чертаново Центральное,37.623742,55.621046
548,район Чертаново Центральное,37.624295,55.621062
549,район Чертаново Центральное,37.624651,55.621103
550,район Чертаново Центральное,37.630817,55.621844
551,район Чертаново Центральное,37.632242,55.619434
552,район Чертаново Центральное,37.63277,55.618428
553,район Чертаново Центральное,37.633401,55.617399
554,район Чертаново Центральное,37.634131,55.616114
555,район Чертаново Центральное,37.634148,55.61609
556,район Чертаново Центральное,37.634946,55.614951
557,район Чертаново Центральное,37.636148,55.613642
558,район Чертаново Центральное,37.637349,55.612648
559,район Чертаново Центральное,37.638419,55.611956
560,район Чертаново Центральное,37.638808,55.611703
561,район Чертаново Центральное,37.640591,55.61061
562,район Чертаново Центральное,37.64076,55.610508
563,район Чертаново Центральное,37.640653,55.610457
564,район Чертаново Центральное,37.639935,55.610107
565,район Чертаново Центральное,37.638735,55.609358
566,район Чертаново Центральное,37.637811,55.608613
567,район Чертаново Центральное,37.637459,55.608302
568,район Чертаново Центральное,37.636326,55.607204
569,район Чертаново Центральное,37.635113,55.606032
570,район Чертаново Центральное,37.633301,55.604253
571,район Чертаново Центральное,37.631826,55.604747
572,район Чертаново Центральное,37.624976,55.607083
573,район Чертаново Центральное,37.624779,55.607151
574,район Чертаново Центральное,37.623191,55.607564
575,район Чертаново Центральное,37.622603,55.607713
576,район Чертаново Центральное,37.621366,55.608003
577,район Чертаново Центральное,37.616906,55.608838
578,район Чертаново Центральное,37.616503,55.608912
579,район Чертаново Центральное,37.616274,55.608954
580,район Чертаново Центральное,37.614697,55.609223
581,район Чертаново Центральное,37.612499,55.609598
582,район Чертаново Центральное,37.610341,55.60997
583,район Чертаново Центральное,37.609288,55.610155
584,район Чертаново Центральное,37.609125,55.609832
585,район Чертаново Центральное,37.608267,55.607982
586,район Чертаново Центральное,37.607832,55.607069
587,район Чертаново Центральное,37.605998,55.603491
588,район Чертаново Центральное,37.603542,55.603882
589,район Чертаново Центральное,37.600367,55.604357
590,район Чертаново Центральное,37.600255,55.604144
591,район Чертаново Центральное,37.600183,55.603992
592,район Чертаново Центральное,37.599122,55.604163
593,район Чертаново Центральное,37.597425,55.604425
594,район Чертаново Центральное,37.596024,55.604641
595,район Чертаново Центральное,37.595183,55.604753
596,район Чертаново Центральное,37.594833,55.604765
597,район Чертаново Центральное,37.593544,55.604809
598,район Чертаново Центральное,37.59242,55.604848
599,район Чертаново Центральное,37.591502,55.604884
600,район Чертаново Центральное,37.590823,55.604908
601,район Чертаново Центральное,37.590014,55.604957
602,район Чертаново Центральное,37.590247,55.605926
603,район Чертаново Центральное,37.588375,55.606072
604,район Чертаново Центральное,37.587072,55.60602
605,район Чертаново Центральное,37.585632,55.605742
606,район Чертаново Центральное,37.581556,55.604366
607,район Чертаново Центральное,37.577822,55.604366
608,район Чертаново Центральное,37.575762,55.606257
609,район Чертаново Центральное,37.574088,55.606621
610,район Чертаново Центральное,37.573531,55.605942
611,район Чертаново Центральное,37.571685,55.606063
612,район Чертаново Центральное,37.571299,55.606718
613,район Чертаново Центральное,37.57014,55.607154
614,район Чертаново Центральное,37.570096,55.607529
615,район Чертаново Центральное,37.570076,55.607701
616,район Чертаново Центральное,37.570057,55.607863
617,район Чертаново Центральное,37.570035,55.608046
618,район Чертаново Центральное,37.57002,55.608169
619,район Чертаново Центральное,37.570011,55.608245
620,,,
621,район Бирюлёво Западное,37.613125,55.574631
622,район Бирюлёво Западное,37.614559,55.586132
623,район Бирюлёво Западное,37.615197,55.589939
624,район Бирюлёво Западное,37.615275,55.590144
625,район Бирюлёво Западное,37.615379,55.590438
626,район Бирюлёво Западное,37.615569,55.59087
627,район Бирюлёво Западное,37.61578,55.591309
628,район Бирюлёво Западное,37.616245,55.591978
629,район Бирюлёво Западное,37.61728,55.593145
630,район Бирюлёво Западное,37.619355,55.59476
631,район Бирюлёво Западное,37.621035,55.59574
632,район Бирюлёво Западное,37.623427,55.596864
633,район Бирюлёво Западное,37.626353,55.598144
634,район Бирюлёво Западное,37.628162,55.599252
635,район Бирюлёво Западное,37.632153,55.603115
636,район Бирюлёво Западное,37.633301,55.604253
637,район Бирюлёво Западное,37.635113,55.606032
638,район Бирюлёво Западное,37.636326,55.607204
639,район Бирюлёво Западное,37.637459,55.608302
640,район Бирюлёво Западное,37.637811,55.608613
641,район Бирюлёво Западное,37.638735,55.609358
642,район Бирюлёво Западное,37.639935,55.610107
643,район Бирюлёво Западное,37.640653,55.610457
644,район Бирюлёво Западное,37.64076,55.610508
645,район Бирюлёво Западное,37.641093,55.61031
646,район Бирюлёво Западное,37.641741,55.609862
647,район Бирюлёво Западное,37.642141,55.609572
648,район Бирюлёво Западное,37.642775,55.608968
649,район Бирюлёво Западное,37.643213,55.608442
650,район Бирюлёво Западное,37.643608,55.607702
651,район Бирюлёво Западное,37.643873,55.607158
652,район Бирюлёво Западное,37.644124,55.60663
653,район Бирюлёво Западное,37.644265,55.60635
654,район Бирюлёво Западное,37.644448,55.606091
655,район Бирюлёво Западное,37.644665,55.605804
656,район Бирюлёво Западное,37.644902,55.605522
657,район Бирюлёво Западное,37.645609,55.60482
658,район Бирюлёво Западное,37.646347,55.60411
659,район Бирюлёво Западное,37.64686,55.60361
660,район Бирюлёво Западное,37.647741,55.602762
661,район Бирюлёво Западное,37.648936,55.601522
662,район Бирюлёво Западное,37.649837,55.600035
663,район Бирюлёво Западное,37.651139,55.597661
664,район Бирюлёво Западное,37.651853,55.596393
665,район Бирюлёво Западное,37.653,55.594269
666,район Бирюлёво Западное,37.653553,55.593288
667,район Бирюлёво Западное,37.654641,55.591567
668,район Бирюлёво Западное,37.655894,55.589586
669,район Бирюлёво Западное,37.658163,55.586002
670,район Бирюлёво Западное,37.658442,55.5856
671,район Бирюлёво Западное,37.659024,55.584461
672,район Бирюлёво Западное,37.659566,55.58343
673,район Бирюлёво Западное,37.659727,55.583045
674,район Бирюлёво Западное,37.659979,55.582423
675,район Бирюлёво Западное,37.660135,55.581762
676,район Бирюлёво Западное,37.660296,55.580719
677,район Бирюлёво Западное,37.660559,55.578628
678,район Бирюлёво Западное,37.66058,55.577924
679,район Бирюлёво Западное,37.66078,55.577258
680,район Бирюлёво Западное,37.661124,55.57659
681,район Бирюлёво Западное,37.661897,55.57545
682,район Бирюлёво Западное,37.663313,55.573849
683,район Бирюлёво Западное,37.663844,55.573106
684,район Бирюлёво Западное,37.663952,55.572939
685,район Бирюлёво Западное,37.664026,55.572755
686,район Бирюлёво Западное,37.664135,55.572376
687,район Бирюлёво Западное,37.664356,55.571623
688,район Бирюлёво Западное,37.663429,55.571659
689,район Бирюлёво Западное,37.65905,55.571924
690,район Бирюлёво Западное,37.656867,55.572122
691,район Бирюлёво Западное,37.655794,55.572181
692,район Бирюлёво Западное,37.654543,55.572249
693,район Бирюлёво Западное,37.653897,55.572285
694,район Бирюлёво Западное,37.653163,55.572076
695,район Бирюлёво Западное,37.65283,55.571999
696,район Бирюлёво Западное,37.652647,55.572004
